name,brand,product_id,price,discount,reviews,rating,position,old_price,category_Fashion,category_Sporting Goods,category2_Kid's Fashion,category2_Men's Fashion,category2_Sports & Fitness,category2_Women's Fashion,category3_Beach & Swimwear,category3_Boys,category3_Clothing,category3_Girls,category3_Shoes,category4_Clothing,category4_Fashion Sneakers,category4_Pants,category4_Performance swimwear,category4_Shoes,category4_Sports Shoes,category4_Women
Levato - Women,ADIDAS,AD002FS6B7BZSNAFAMZ,1.83496961314492,1.849397323263872,1.3869522404170722,-0.0993701976544519,1,3.9956604301281273,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Levato - Women,ADIDAS,AD002FS6JHOQGNAFAMZ,1.83496961314492,1.849397323263872,0.7557643944787639,0.11041133072716816,2,3.9956604301281273,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Advantage Lifestyle Court Lace Shoes,ADIDAS,AD002FS2M051TNAFAMZ,-1.068338604674689,-0.1584852114857028,3.8666187780318553,-1.3580593679441648,3,1.8215829783931026,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Advantage Lifestyle Court Lace Shoes,ADIDAS,AD002FS2M051TNAFAMZ,-1.0648065995435216,-0.1560660759016672,3.8666187780318553,-1.3580593679441648,1,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Advantage Lifestyle Court Lace Shoes Kids,ADIDAS,AD002FS39V015NAFAMZ,-0.3584055733100402,-0.2776276389994576,0.44017047150960975,-1.567840896325784,2,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Court Silk Shoes Women,ADIDAS,AD002FS4UM6HXNAFAMZ,2.6014147266082475,2.593886299250838,-0.055762836013346785,-1.3580593679441648,3,-0.2803686811042674,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Essentials 3-Stripes Woven Tracksuit Bottoms Unisex,ADIDAS,AD002MW4CX75LNAFAMZ,0.1042870988728903,0.16991244404713426,-0.28118706670559973,0.7397559158720246,4,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Essentials Big Logo Cotton T-Shirt Unisex,ADIDAS,AD002MW481FZTNAFAMZ,-1.0895306354616934,-0.9876439329139157,-0.3262719128440503,0.7397559158720246,5,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Essentials Big Logo Cotton T-Shirt Girls,ADIDAS,AD002MW3NBK55NAFAMZ,-1.0930626405928607,-0.9912726362899691,-0.5066112973978527,0.5299743874904064,6,-0.2803686811042674,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Essentials Big Logo Cotton T-Shirt Girls,ADIDAS,AD002MW456KAHNAFAMZ,-1.0930626405928607,-0.9912726362899691,-0.4615264512594021,-1.3580593679441648,7,-0.2803686811042674,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Essentials 3-Stripes Woven Shorts Unisex,ADIDAS,AD002MW4CBRJTNAFAMZ,-0.6586260094592696,-0.5703430446677692,-0.3262719128440503,0.32019285910878637,10,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Performance Football Shoes Kids X 18.3 In J,ADIDAS,AD002FS09232DNAFAMZ,0.39037951449745045,0.44932260400324964,-0.4164416051209515,0.7397559158720246,11,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Tensaur Hook And Loop Shoes Unisex,ADIDAS,AD002FS3DHKEFNAFAMZ,0.07956306295471835,0.1469306559987956,-0.19101737442869854,0.7397559158720246,12,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Train Essentials AEROREADY 3-Stripes Regular-Fit Training Set - Kids,ADIDAS,AD002MW5HMPPENAFAMZ,0.18199121175857316,-1.1194868222438576,-0.4615264512594021,0.7397559158720246,13,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Juventus Icon Pant Men,ADIDAS,AD002SE2XP3KDNAFAMZ,1.245124756239963,1.2778765415354538,-0.28118706670559973,-2.6167485382338787,14,-0.2803686811042674,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Essentials Big Logo Cotton T-Shirt Girls,ADIDAS,AD002MW3MNZDLNAFAMZ,-1.0930626405928607,-0.9912726362899691,-0.4615264512594021,0.7397559158720246,15,-0.2803686811042674,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Essentials Sport Set Unisex,ADIDAS,AD002MW3YIIBDNAFAMZ,-1.2202148253148875,-1.1158581188678043,-0.3262719128440503,-0.3091517260360701,16,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Levato - Women,ADIDAS,AD002FS6JHOQGNAFAMZ,1.8385016182760874,1.8530260266399257,0.7557643944787639,0.11041133072716816,17,-0.2803686811042674,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Tensaur Hook And Loop Shoes Unisex,ADIDAS,AD002FS3IUGUFNAFAMZ,0.07956306295471835,0.1469306559987956,0.079491702402005,0.7397559158720246,18,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Altaventure Sport Swim Sandals Unisex,ADIDAS,AD002FS4QHTLFNAFAMZ,0.5599157607934856,0.6144286076136818,-0.4615264512594021,0.7397559158720246,20,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Essentials Organic Cotton Tee And Shorts Set Unisex,ADIDAS,AD002MW3C0BNDNAFAMZ,-1.2202148253148875,-1.1158581188678043,-0.14593252829024794,-1.3580593679441648,21,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Performance Football Shoes Kids Nemeziz 18.3 In J,ADIDAS,AD002FS1JK1ETNAFAMZ,0.39037951449745045,0.44932260400324964,-0.3713567589825009,-1.9874039530890213,22,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Essentials Organic Cotton Tee And Shorts Set Unisex,ADIDAS,AD002MW4HONZTNAFAMZ,-1.2202148253148875,-1.1158581188678043,-0.23610222056714913,0.7397559158720246,23,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Essentials Sport Set Unisex,ADIDAS,AD002MW3QU0M1NAFAMZ,-1.2202148253148875,-1.1158581188678043,0.0344068562635544,0.7397559158720246,24,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ESSENTIALS LINEAR LOGO COTTON LEGGINGS GIRLS,ADIDAS,AD002MW5THA9GNAFAMZ,-0.6586260094592696,-0.5703430446677692,-0.4615264512594021,0.7397559158720246,25,-0.2803686811042674,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3 BAR LOGO SWIMSUIT WOMEN,ADIDAS,AD002SL5U8W60NAFAMZ,0.1042870988728903,0.16991244404713426,-0.4615264512594021,0.7397559158720246,26,-0.2803686811042674,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
ESSENTIALS BIG LOGO COTTON SHORTS KIDS,ADIDAS,AD002MW64TDMCNAFAMZ,-0.6586260094592696,-0.5703430446677692,-0.5066112973978527,0.5299743874904064,27,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Breaknet Lifestyle Court Two-Strap Hook-and-Loop Shoes Unisex,ADIDAS,AD002FS47UO93NAFAMZ,0.7047279711713493,0.7523193359037129,-0.3262719128440503,0.7397559158720246,28,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
POWERIMPACT TRAINING MEDIUM-SUPPORT 3-STRIPES BRA WOMEN,ADIDAS,AD002SL62QGXSNAFAMZ,0.8177521353687065,-0.8352383911196709,-0.4164416051209515,0.7397559158720246,30,-0.2803686811042674,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
ESSENTIALS 3-STRIPES COTTON LEGGINGS GIRLS,ADIDAS,AD002MW5F5LG4NAFAMZ,-0.6586260094592696,-0.5703430446677692,-0.4615264512594021,0.7397559158720246,31,-0.2803686811042674,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
PADDED MID STRIPES SWIMSUIT WOMEN,ADIDAS,AD002SL5ZD7YWNAFAMZ,0.7188559916960193,0.7662293655119177,-0.5066112973978527,0.5299743874904064,33,-0.2803686811042674,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
ESSENTIALS BIG LOGO COTTON SWEATSHIRT GIRLS,ADIDAS,AD002MW5V8AS4NAFAMZ,0.04777501677421173,0.11608667730234142,-0.5066112973978527,0.5299743874904064,34,-0.2803686811042674,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Grand Court X Marvel Spider-Man Shoes Kids,ADIDAS,AD002FS5NSA8YNAFAMZ,0.8177521353687065,0.8635995727693517,-0.4615264512594021,0.7397559158720246,35,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3 BAR LOGO SWIMSUIT WOMEN,ADIDAS,AD002SL5P4RB4NAFAMZ,0.1042870988728903,0.16991244404713426,-0.4615264512594021,-1.3580593679441648,36,-0.2803686811042674,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Advantage Lifestyle Court Two Hook-and-Loop Shoes Kids,ADIDAS,AD002FS6LFYMANAFAMZ,0.8177521353687065,0.8635995727693517,-0.4164416051209515,0.7397559158720246,37,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Grand Court Lifestyle Hook And Loop Shoes Unisex,ADIDAS,AD002FS4D5QY5NAFAMZ,0.39037951449745045,0.44932260400324964,0.12457654854045559,-1.567840896325784,38,-0.2803686811042674,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
