name,brand,category,category2,category3,category4,product_id,price,discount,reviews,rating,position,old_price
Levato - Women,ADIDAS,Fashion,Women's Fashion,Shoes,Fashion Sneakers,AD002FS6B7BZSNAFAMZ,12.22,69.23,42.0,4.6,1,124500.0
Levato - Women,ADIDAS,Fashion,Women's Fashion,Shoes,Fashion Sneakers,AD002FS6JHOQGNAFAMZ,12.22,69.23,28.0,4.7,2,124500.0
Advantage Lifestyle Court Lace Shoes,ADIDAS,Fashion,Kid's Fashion,Boys,Shoes,AD002FS2M051TNAFAMZ,4.0,36.03,97.0,4.0,3,61200.0
Advantage Lifestyle Court Lace Shoes,ADIDAS,Fashion,Kid's Fashion,Boys,Shoes,AD002FS2M051TNAFAMZ,4.01,36.07,97.0,4.0,1,0.0
Advantage Lifestyle Court Lace Shoes Kids,ADIDAS,Fashion,Kid's Fashion,Boys,Shoes,AD002FS39V015NAFAMZ,6.01,34.06,21.0,3.9,2,0.0
Court Silk Shoes Women,ADIDAS,Fashion,Women's Fashion,Shoes,Sports Shoes,AD002FS4UM6HXNAFAMZ,14.39,81.54,10.0,4.0,3,0.0
Essentials 3-Stripes Woven Tracksuit Bottoms Unisex,ADIDAS,Fashion,Kid's Fashion,Boys,Clothing,AD002MW4CX75LNAFAMZ,7.32,41.46,5.0,5.0,4,0.0
Essentials Big Logo Cotton T-Shirt Unisex,ADIDAS,Fashion,Kid's Fashion,Boys,Clothing,AD002MW481FZTNAFAMZ,3.94,22.32,4.0,5.0,5,0.0
Essentials Big Logo Cotton T-Shirt Girls,ADIDAS,Fashion,Kid's Fashion,Girls,Clothing,AD002MW3NBK55NAFAMZ,3.93,22.26,0.0,4.9,6,0.0
Essentials Big Logo Cotton T-Shirt Girls,ADIDAS,Fashion,Kid's Fashion,Girls,Clothing,AD002MW456KAHNAFAMZ,3.93,22.26,1.0,4.0,7,0.0
Essentials 3-Stripes Woven Shorts Unisex,ADIDAS,Fashion,Kid's Fashion,Boys,Clothing,AD002MW4CBRJTNAFAMZ,5.16,29.22,4.0,4.8,10,0.0
Performance Football Shoes Kids X 18.3 In J,ADIDAS,Fashion,Kid's Fashion,Boys,Shoes,AD002FS09232DNAFAMZ,8.13,46.08,2.0,5.0,11,0.0
Tensaur Hook And Loop Shoes Unisex,ADIDAS,Fashion,Kid's Fashion,Boys,Shoes,AD002FS3DHKEFNAFAMZ,7.25,41.08,7.0,5.0,12,0.0
Train Essentials AEROREADY 3-Stripes Regular-Fit Training Set - Kids,ADIDAS,Fashion,Kid's Fashion,Boys,Clothing,AD002MW5HMPPENAFAMZ,7.54,20.14,1.0,5.0,13,0.0
Juventus Icon Pant Men,ADIDAS,Fashion,Men's Fashion,Clothing,Pants,AD002SE2XP3KDNAFAMZ,10.55,59.78,5.0,3.4,14,0.0
Essentials Big Logo Cotton T-Shirt Girls,ADIDAS,Fashion,Kid's Fashion,Girls,Clothing,AD002MW3MNZDLNAFAMZ,3.93,22.26,1.0,5.0,15,0.0
Essentials Sport Set Unisex,ADIDAS,Fashion,Kid's Fashion,Boys,Clothing,AD002MW3YIIBDNAFAMZ,3.57,20.2,4.0,4.5,16,0.0
Levato - Women,ADIDAS,Fashion,Women's Fashion,Shoes,Fashion Sneakers,AD002FS6JHOQGNAFAMZ,12.23,69.29,28.0,4.7,17,0.0
Tensaur Hook And Loop Shoes Unisex,ADIDAS,Fashion,Kid's Fashion,Boys,Shoes,AD002FS3IUGUFNAFAMZ,7.25,41.08,13.0,5.0,18,0.0
Altaventure Sport Swim Sandals Unisex,ADIDAS,Fashion,Kid's Fashion,Boys,Shoes,AD002FS4QHTLFNAFAMZ,8.61,48.81,1.0,5.0,20,0.0
Essentials Organic Cotton Tee And Shorts Set Unisex,ADIDAS,Fashion,Kid's Fashion,Boys,Clothing,AD002MW3C0BNDNAFAMZ,3.57,20.2,8.0,4.0,21,0.0
Performance Football Shoes Kids Nemeziz 18.3 In J,ADIDAS,Fashion,Kid's Fashion,Boys,Shoes,AD002FS1JK1ETNAFAMZ,8.13,46.08,3.0,3.7,22,0.0
Essentials Organic Cotton Tee And Shorts Set Unisex,ADIDAS,Fashion,Kid's Fashion,Boys,Clothing,AD002MW4HONZTNAFAMZ,3.57,20.2,6.0,5.0,23,0.0
Essentials Sport Set Unisex,ADIDAS,Fashion,Kid's Fashion,Boys,Clothing,AD002MW3QU0M1NAFAMZ,3.57,20.2,12.0,5.0,24,0.0
ESSENTIALS LINEAR LOGO COTTON LEGGINGS GIRLS,ADIDAS,Fashion,Kid's Fashion,Girls,Clothing,AD002MW5THA9GNAFAMZ,5.16,29.22,1.0,5.0,25,0.0
3 BAR LOGO SWIMSUIT WOMEN,ADIDAS,Fashion,Women's Fashion,Beach & Swimwear,Performance swimwear,AD002SL5U8W60NAFAMZ,7.32,41.46,1.0,5.0,26,0.0
ESSENTIALS BIG LOGO COTTON SHORTS KIDS,ADIDAS,Fashion,Kid's Fashion,Boys,Clothing,AD002MW64TDMCNAFAMZ,5.16,29.22,0.0,4.9,27,0.0
Breaknet Lifestyle Court Two-Strap Hook-and-Loop Shoes Unisex,ADIDAS,Fashion,Kid's Fashion,Boys,Shoes,AD002FS47UO93NAFAMZ,9.02,51.09,4.0,5.0,28,0.0
POWERIMPACT TRAINING MEDIUM-SUPPORT 3-STRIPES BRA WOMEN,ADIDAS,Sporting Goods,Sports & Fitness,Clothing,Women,AD002SL62QGXSNAFAMZ,9.34,24.84,2.0,5.0,30,0.0
ESSENTIALS 3-STRIPES COTTON LEGGINGS GIRLS,ADIDAS,Fashion,Kid's Fashion,Girls,Clothing,AD002MW5F5LG4NAFAMZ,5.16,29.22,1.0,5.0,31,0.0
PADDED MID STRIPES SWIMSUIT WOMEN,ADIDAS,Fashion,Women's Fashion,Beach & Swimwear,Performance swimwear,AD002SL5ZD7YWNAFAMZ,9.06,51.32,0.0,4.9,33,0.0
ESSENTIALS BIG LOGO COTTON SWEATSHIRT GIRLS,ADIDAS,Fashion,Kid's Fashion,Girls,Clothing,AD002MW5V8AS4NAFAMZ,7.16,40.57,0.0,4.9,34,0.0
Grand Court X Marvel Spider-Man Shoes Kids,ADIDAS,Fashion,Kid's Fashion,Boys,Shoes,AD002FS5NSA8YNAFAMZ,9.34,52.93,1.0,5.0,35,0.0
3 BAR LOGO SWIMSUIT WOMEN,ADIDAS,Fashion,Women's Fashion,Beach & Swimwear,Performance swimwear,AD002SL5P4RB4NAFAMZ,7.32,41.46,1.0,4.0,36,0.0
Advantage Lifestyle Court Two Hook-and-Loop Shoes Kids,ADIDAS,Fashion,Kid's Fashion,Boys,Shoes,AD002FS6LFYMANAFAMZ,9.34,52.93,2.0,5.0,37,0.0
Grand Court Lifestyle Hook And Loop Shoes Unisex,ADIDAS,Fashion,Kid's Fashion,Boys,Shoes,AD002FS4D5QY5NAFAMZ,8.13,46.08,14.0,3.9,38,0.0
Essentials 3-Stripes Cotton Leggings - Kids,ADIDAS,Fashion,Kid's Fashion,Boys,Clothing,AD002MW5OD7V8NAFAMZ,5.24,10.08,0.0,4.9,39,0.0
ESSENTIALS 3-STRIPES WOVEN SHORTS KIDS,ADIDAS,Fashion,Kid's Fashion,Boys,Clothing,AD002MW5I4RH0NAFAMZ,5.16,29.22,0.0,4.9,40,0.0
